batch,phase,type,passing_rate,avg_buddy,avg_materials,avg_instructor,buddy_ratio,total_student,passed,failed,participant,graduates,honors,ta,withdraw,withdraw_notes
1,0,RMT,79,8.95,4.25,4.38,7,28,22,6,,,,,0,
1,1,RMT,86,8.90,4.00,4.21,6,22,19,3,,,,,0,
1,2,RMT,100,9.05,4.20,4.58,6,19,19,0,,,,,0,
2,0,RMT,53,9.11,4.13,4.63,8,15,10,5,,,,,0,
2,1,RMT,73,8.20,4.03,4.57,6,11,8,3,,,,,0,
2,2,RMT,100,8.36,4.42,4.48,4,8,7,0,,,,,0,
3,0,RMT,50,8.11,3.80,4.66,8,8,4,4,,,,,0,
3,1,RMT,83,8.86,4.00,4.63,6,6,5,1,,,,,0,
3,2,RMT,80,9.43,4.13,4.82,5,5,4,1,,,,,0,
4,0,RMT,75,8.59,3.88,4.22,4,16,12,4,,,,,0,
4,1,RMT,92,8.77,4.04,4.39,4,12,11,1,,,,,0,
4,2,RMT,100,8.83,4.40,4.29,11,11,11,0,,,,,0,
5,0,RMT,69,7.67,4.08,4.43,4,12,8,4,,,,,0,
5,1,RMT,100,,,,9,9,9,0,,,,,0,
5,2,RMT,100,8.54,3.64,4.53,9,9,9,0,,,,,0,
6,0,RMT,67,,,,7,21,14,7,,,,,0,
6,1,RMT,89,,,,7,14,12,2,,,,,0,
6,2,RMT,100,9.63,4.73,4.94,12,12,9,0,,,,,0,
7,0,RMT,76,8.68,3.86,4.49,11,21,16,5,,,,,0,
7,1,RMT,76,9.11,4.45,4.56,9,17,13,3,,,,,1,
7,2,RMT,100,9.38,4.25,4.82,12,12,12,0,,,,,0,
8,0,RMT,86,9.19,4.22,4.43,8,23,18,3,,,,,2,
8,1,RMT,80,9.52,3.75,4.07,10,20,16,3,,,,,1,
8,2,RMT,100,9.30,4.33,4.64,16,16,15,1,,,,,0,
9,0,RMT,73,9.22,4.36,4.56,9,27,19,7,,,,,1,
9,1,RMT,84,9.63,3.81,4.46,6,19,16,3,,,,,0,
9,2,RMT,100,8.77,4.30,4.62,17,17,17,0,,,,,0,
10,0,RMT,89,9.05,4.05,4.50,10,30,25,3,,,,,2,
10,1,RMT,85,8.79,3.76,4.39,9,26,22,4,,,,,0,
10,2,RMT,100,9.07,4.29,4.56,11,22,22,0,,,,,0,
11,0,RMT,89,9.02,4.16,4.41,8,31,24,3,,,,,4,
11,1,RMT,79,8.08,3.69,4.67,7,28,22,6,,,,,0,
11,2,RMT,100,9.29,4.11,4.77,22,22,22,0,,,,,0,
12,0,RMT,71,8.95,4.06,4.44,7,20,12,5,,,,,3,
12,1,RMT,82,9.10,4.25,4.63,4,17,14,1,,,,,2,
12,2,RMT,100,9.48,4.33,4.73,5,14,14,0,,,,,0,
13,0,RMT,87,8.51,3.83,4.12,8,15,13,2,,,,,0,
13,1,RMT,69,8.29,4.08,4.24,3,13,9,1,,,,,3,
13,2,RMT,100,9.33,4.13,4.66,6,9,9,0,,,,,0,
14,0,RMT,70,8.91,3.92,4.12,7,13,7,3,,,,,3,
14,1,RMT,100,5.62,3.67,4.00,8,8,8,0,,,,,0,
14,2,RMT,100,7.49,3.79,4.06,4,8,8,0,,,,,0,
15,0,RMT,78,8.98,4.16,4.42,5,18,14,3,,,,,1,
15,1,RMT,100,9.55,4.29,4.56,7,14,14,0,,,,,0,
15,2,RMT,92,9.61,4.36,4.35,9,13,12,1,,,,,0,
16,0,RMT,72,7.63,4.08,4.04,,,,,,,,,,
16,1,RMT,100,8.71,4.16,4.36,,,,,,,,,,
16,2,RMT,100,9.35,4.05,4.40,,,,,,,,,,
1,0,HCK,81,9.43,4.00,4.15,,,,,,,,,,
1,1,HCK,100,9.10,3.75,4.46,,,,,,,,,,
1,2,HCK,100,,,,,,,,,,,,,
2,0,HCK,94,,,,,,,,,,,,,
2,1,HCK,100,,,,,,,,,,,,,
2,2,HCK,100,,,,,,,,,,,,,